id,amount,admin,cofog,geocode
ceab8f4f5d8b41c2aad230a9bb9daf96,99205000,Uprava za indirektno oporezivanje Bosne i Hercegovine,01.1.2,Bosna i Hercegovina
62046da69ecb4ddb94df2f007fcb6ba8,54317000,Ministarstvo vanjskih poslova Bosne i Hercegovine,01.1.3,Bosna i Hercegovina
7a1e2516426145b7897bec15f1fa5cc8,20253000,"Agencija za identifikacione dokumente, evidenciju i razmjenu podataka BiH",01.6.0,Bosna i Hercegovina
93ac4b10fdec43dea5e24228e800a993,15635000,Parlamentarna skupština Bosne i Hercegovine,01.1.1,Bosna i Hercegovina
e1caa464b0b3420e89bfdcc0e2318639,14607000,Ministarstvo civilnih poslova,01.1.1,Bosna i Hercegovina
7b65f4d1b48d4d9692022c268c3ff475,12865000,Služba za zajedničke poslove institucija Bosne i Hercegovine,01.3.3,Bosna i Hercegovina
a4bcc270281d4d49a546e312467445c3,10098000,Ministarstvo finansija i trezora BiH,01.1.1,Bosna i Hercegovina
c5c4c41760054917bbd6bf69562c460f,8759000,Centralna izborna komisija BiH,01.6.0,Bosna i Hercegovina
de5084f36d444b69be80d80806400f19,8068000,Predsjedništvo BiH,01.1.1,Bosna i Hercegovina
388185e4609e4e3b9f57fcb2a3bd76ea,7803000,Regulatorna agencija za komunikacije,04.6.0,Bosna i Hercegovina
4d84dff32c2a4cf189920dfd863863f5,7639000,Agencija za statistiku BiH,01.3.2,Bosna i Hercegovina
76b095f3d7094cbca19ddeaab2c19f50,5481000,Ured koordinatora za reformu javen uprave,01.1.1,Bosna i Hercegovina
4a5420a419a14f94bc865b4190b8cb5c,4179000,Direkcija za europske integracije,01.1.3,Bosna i Hercegovina
9ebec7dabb8f4b728aac2c9f66a21985,3844000,Generalni sekretarijat Vijeća ministara Bosne i Hercegovine,01.1.1,Bosna i Hercegovina
694ac18c3ce549cdbad4d9daa5910e6e,3545000,Ured za reviziju institucija BiH,01.1.2,Bosna i Hercegovina
b8ed2f1824594e678ceb7ab0b384daa2,3066000,Institut za nestala lica BiH,01.4.0,Bosna i Hercegovina
c4c841a4eccd47bba5eef59d03f56cf7,2410000,Institut za mjeriteljstvo BiH,04.1.1,Bosna i Hercegovina
7cc90ae6efb94c239191268f4faedf98,1735000,Institut za intelektualno vlasništvo BiH,04.1.1,Bosna i Hercegovina
ae0e36e6373c403ab35a04850c1ae0ef,1348000,Institut za standardizaciju BiH,04.1.1,Bosna i Hercegovina
a46acb45a068469aa6f9af567def372d,1114000,Agencija za državnu službu BiH,01.3.1,Bosna i Hercegovina
c18e429306784ec7971f74b2c8a0d16b,1110000,Agencija za rad i zapošljavanje BiH,04.1.2,Bosna i Hercegovina
415c7b0540ef42dbb8e140c64c8a0770,1039000,Instut za akreditiranje BiH,01.6.0,Bosna i Hercegovina
e9a97627812c4571a7c23baab51185ea,652000,Arhiv BiH,01.3.3,Bosna i Hercegovina
ab2483f95269475e9066d36e47d27a94,620000,Ured za zakonodavstvo,01.1.1,Bosna i Hercegovina
391b8c62f2b54ee0a4e0631b30849002,450000,Centralna harmonizacijska jedinica,01.1.2,Bosna i Hercegovina
2fcf762ca2e54e0c8d7a1f537632dee2,399000,Odbor državne službe za žalbe,01.3.1,Bosna i Hercegovina
5f678f0bd95049c5a25300c49d3d0511,305847000,Ministarstvo odbrane BiH,02.1.0,Bosna i Hercegovina
ce648c47497f4f979b5005999b76b4cc,33121000,Obavještajno sigurnosna agencija Bosne i Hercegovine,03.1.0,Bosna i Hercegovina
cabecdbe67c44ce9963edc6d2d3930f2,29231000,Državna agencija za istrage i zaštitu,03.5.0,Bosna i Hercegovina
e90e2d36980c4dd1a646d826f01171b4,27537000,Direkcija za koordinaciju policijskih tijela,03.1.0,Bosna i Hercegovina
ca4741794c09424fa714da4ea8a20094,14442000,Ministarstvo pravde BiH,01.1.1,Bosna i Hercegovina
dc41311fafb14fe992d64699d1537875,14091000,Sud Bosne i Hercegovine,03.3.0,Bosna i Hercegovina
f82a74bc84e742da9dbb78696f45c2d4,8959000,Tužilaštvo Bosne i Hercegovine,03.3.0,Bosna i Hercegovina
418425ed01a9445282818e2e92aac7c4,8949000,Služba za poslove sa strancima Bosne i Hercegovine,03.1.0,Bosna i Hercegovina
30dca741871a4181ac4c567749e0da99,8356000,Visoko sudsko i tužilačko vijeće Bosne i Hercegovine,03.3.0,Bosna i Hercegovina
3f77fce26909480b8634e95ec4e2be13,8260000,Ministarstvo sigurnosti Bosne i Hercegovine,01.1.1,Bosna i Hercegovina
b36b111753b34e8eba5406b581a4211b,6029000,Centar za uklanjanje mina u Bosni i Hercegovini BHMAC,03.6.0,Bosna i Hercegovina
faa0ef4d60014248bc0ac6f24e85cd8c,5188000,Ustavni sud Bosne i Hercegovine,03.3.0,Bosna i Hercegovina
f6ddcc24c06649268a41ac788c4f5d61,4443000,Agencija za školovanje i stručno osposobljavanje kadrova,03.1.0,Bosna i Hercegovina
54f9425490e04622b8c411f4fa38975e,2878000,"Jedinica za implementaciju projekta izgradnje zavoda za izvršenje kaznenih sankcija, pritvora i drugih mjera BiH",03.4.0,Bosna i Hercegovina
b14e03d5ec9244dab110f8f2dbaad10e,2388000,Institucija ombdusmana za ljudska prava BiH,03.3.0,Bosna i Hercegovina
a880fc8cc6e64ea184144f7981be53e5,1605000,Agencija za policijsku podršku,03.1.0,Bosna i Hercegovina
e865d1754ff6468baa0b2575a33ffa97,1068000,Agencija za zaštitu ličnih podataka u BiH,03.6.0,Bosna i Hercegovina
8aecb9d05fde4d5a8da90a3319f31052,1002000,Pravobranilaštvo Bosne i Hercegovine,03.3.0,Bosna i Hercegovina
0832065888084607b40bd6c4bf639ca5,981000,Državna regulatorna agencija za radijacijsku i nuklearnu bezbjednost u BiH,03.6.0,Bosna i Hercegovina
72bbf37ec08a4e52afb05c6e626e8f83,885000,Agencija za prevenciju korupcije i koordinaciju borbe protiv korupcije,03.6.0,Bosna i Hercegovina
61009b8d7c9e417ab1491a708519709a,369000,Institucija ombdusmana za zaštitu potrošaća u BiH,03.3.0,Bosna i Hercegovina
8f1f56549e464edeb368dbc0d22beaaf,13488000,Ministarstvo komunikacija i prometa Bosne i Hercegovine,01.1.1,Bosna i Hercegovina
664c325ec2fe4d588f633ef446057105,6625000,Ministarstvo vanjske trgovine i ekonomskih odnosa Bosne i Hercegovine,01.1.1,Bosna i Hercegovina
1bf23ca77d8540dba3b18a3a5974a93f,6037000,Direkcija za civilno vazduhoplovstvo BiH,04.5.4,Bosna i Hercegovina
8446195244a04e16ae48bc4ad078807a,1525000,Agencija za promociju stranih investicija u BiH,04.1.1,Bosna i Hercegovina
e88293e27a3a4280be2d01bf7c6d9431,1475000,Konkurencijsko vijeće Bosne i Hercegovine,04.1.1,Bosna i Hercegovina
8a086327d46f4cc09999a3d28d10de30,1285000,Direkcija za ekonomsko planiranje,04.1.1,Bosna i Hercegovina
21673d2be4634239bf0c44bfc7d2ab7a,1076000,Komisija za koncesije BiH,04.1.1,Bosna i Hercegovina
8dbe1912aec845a686d1f9caa23baff7,1070000,Ured za razmatranje žalbi po javnim nabavkama,01.1.2,Bosna i Hercegovina
7c1026603b8e448f81052a1754dc8045,915000,Agencija za javne nabavke BiH,01.1.2,Bosna i Hercegovina
ac5ee7391a8f4f2ab446b996c1807412,882000,Agencija za poštanski promet BiH,04.6.0,Bosna i Hercegovina
ce2011f3b7024fffb96470539cef6422,728000,Agencija za nadzor nad tržištem BiH,04.1.1,Bosna i Hercegovina
7c2f3bda41cb4498a0c26b7823ec044c,536000,Agencija za osiguranje u BiH,04.9.0,Bosna i Hercegovina
8735ca0e7e9b437ba9593ee1695a6bbb,529000,Ured za harmonizaciju i koordinaciju sistema plačanja u poljoprivredi i ruralnom razvoju,04.2.1,Bosna i Hercegovina
eb49210baf014949b65e03a1c25cd945,1267000,"Agencija za predškolsko, osnovno i srednje obrazovanje BiH",09.8.0,Bosna i Hercegovina
ad0d8c5ec0e140a78f5dddc3d62ac492,1152000,Agencija za razvoj visokog obrazovanja i osiguranje kvaliteta,09.8.0,Bosna i Hercegovina
3ee402571a814229821ee90740c136ac,751000,Centar za informisanje i priznavanje dokumenata iz oblasti visokog obrazovanja,09.8.0,Bosna i Hercegovina
3d2faf652b7440a8838382d5ac07c794,7813000,Ured za veterinarstvo BiH,07.6.0,Bosna i Hercegovina
f4b5cd07ca2244aca09e072b8d4496e7,5069000,Agencija za lijekove i medicinska sredstva Bosne i Hercegovine,07.6.0,Bosna i Hercegovina
31398e15698c4a5282babd62d40085f4,1707000,Agencija za sigurnost hrane BiH,07.5.0,Bosna i Hercegovina
1d36b9ad624140869cd773a17a9e579b,1063000,Agencija za forenzička ispitivanja i vještačenja,07.5.0,Bosna i Hercegovina
e8f69356718d4186a470357f471666d5,597000,Agencija za antidoping kontrolu,08.1.0,Bosna i Hercegovina
9e378f292eb54b41a38b6993c934123c,10965000,Minstarstvo za ljudska prava i izbjeglice BiH,01.1.1,Bosna i Hercegovina
7603dd9d85994a11acc444f0a28572bb,439000,Fond za povratak BiH,10.7.0,Bosna i Hercegovina
e94272512830465b8abb3deb283ba655,1309000,Komisija za očuvanje nacionalnih spomenika,08.2.0,Bosna i Hercegovina
34a3559a88594bb98c67594fff9a2e78,734000,Memorijalni centar Srebrenica-Potočari,08.2.0,Bosna i Hercegovina
0b31855cde914164a301ad43d77262cf,985000,Uprava BiH za zaštitu zdravlja bilja,05.4.0,Bosna i Hercegovina
2a8878ed275d497ca821917319bef3c5,28594000,Direktni transferi sa JRT,01.8.0,Bosna i Hercegovina
d213ac82e794438e97cf5ca2076e8a29,3465000,Rezervisanja,01.1.2,Bosna i Hercegovina
2245784b63e2460c925d3e640b35d328,444928000,Servisiranje spoljnog duga,01.7.0,Bosna i Hercegovina
31c934b1703f4927bd1200780cdd6ea1,586486291,Izdaci za otplate dugova i kamata,01.7.0,Federacija Bosne i Hercegovine
b9de11725824438cb3fa08d01290edb4,29981510,Vlada FBiH,01.1.1,Federacija Bosne i Hercegovine
966ae1329d9f45c48522c22883445ddd,41678545,Porezna uprava,01.1.2,Federacija Bosne i Hercegovine
a2b5fbd978e84220992bf2b00330bc3e,33611000,Kapitalni i tekući transferi,01.8.0,Federacija Bosne i Hercegovine
e89dcfe26f1a44bca9d4b6a24346159b,20151127,FMF - Organi uprave,01.1.1,Federacija Bosne i Hercegovine
f8f8f5b14fd14954b97ff9da72aef949,14875997,Parlament FBiH,01.1.1,Federacija Bosne i Hercegovine
ecd393e6a2774126af8a398f24191024,8160786,Fed. uprava za inspekcijske poslove,01.1.3,Federacija Bosne i Hercegovine
d6a0c054a1614e83a9eea31dbbf7c1f9,7932972,Fed. zavod za statistiku,01.1.3,Federacija Bosne i Hercegovine
8bb6975f0a7d44c5a9d1a5c5fe22fdb3,3667558,Ured Predsjednika i Podpredsjednika FBiH,01.1.1,Federacija Bosne i Hercegovine
6e252319b76b4aea939868cf6b517593,3386524,Ured za reviziju institucija u FBiH,01.1.2,Federacija Bosne i Hercegovine
257496f689df4179a21c6ed3252d73f6,2269489,Agencija za državnu službu FBiH,01.3.1,Federacija Bosne i Hercegovine
315f1b58dc6443c2bc249bacdd997f04,1801649,Finansijska policija,01.1.3,Federacija Bosne i Hercegovine
e52a531b4aec4bf4b4fa135c921a32bd,582072,Arhiv FBiH,01.3.3,Federacija Bosne i Hercegovine
94bd4d2a1d59445cb3cb34ff823a5942,46900460,Fed. min. pravde,01.1.1,Federacija Bosne i Hercegovine
6a75b8ad370443d5aba53fe49074cf3e,41900503,MUP FBiH,03.1.0,Federacija Bosne i Hercegovine
e19ae5921e6f401cbb9d27af8e6601df,23082137,Vrhovni sud FBiH,03.3.0,Federacija Bosne i Hercegovine
df0bda8d63514f4dba6f4c5fac93c373,8231895,Fed. uprava za CZ,03.1.0,Federacija Bosne i Hercegovine
5932815b7cf5488dad9c6bbb6be3bf94,1487031,Fed. tužilaštvo FBiH,03.3.0,Federacija Bosne i Hercegovine
223ff74ee2f54af581207a18cedd221d,1434594,Ustavni sud FBiH,03.3.0,Federacija Bosne i Hercegovine
90b2effdc5854e30bd5ca73c27a3c24a,1270010,Fed. pravobranilaštvo,03.3.0,Federacija Bosne i Hercegovine
86d6856ca586489f9d763f4fb9ea12f3,778118,JU centar za edukaciju sudija i tužilaca,03.3.0,Federacija Bosne i Hercegovine
a241a9ea3920450682e9536d8f1de9ca,477402,Gender centar FBiH,03.6.0,Federacija Bosne i Hercegovine
ef5bff9aa0984099a3754bf35ca166d5,85234119,"Fed. min. poljoprivr., vodoprivr i šumarstva",01.1.1,Federacija Bosne i Hercegovine
f62ecd9525cd495685945260b1d7c093,55871020,Fed. min. prometa i komun.,01.1.1,Federacija Bosne i Hercegovine
2276401c2c5544dc8bf188b7efc12371,40150173,"Fed. min. energije, rudarstva i industr.",01.1.1,Federacija Bosne i Hercegovine
ea9ebbff05454781a4a43b02705663d5,10373371,"Fed. min. razvoja, poduz. i obrta",01.1.1,Federacija Bosne i Hercegovine
b9022a0c7b5a4807a4e1adc985824e61,5533966,Fed. direkcija robnih rezervi,01.1.1,Federacija Bosne i Hercegovine
35f4efad8aae4567ab0eccfae6009802,2686950,Fed. hitro - metero. zavod,04.9.0,Federacija Bosne i Hercegovine
b90b1a816a494fbcb73f942859170a0e,2382255,Fed. zavod za poljoprivredu Sarajevo,04.2.1,Federacija Bosne i Hercegovine
a3b55a2b4faa4e8f8c6640bb53e7e2b7,2078705,Fed. min. trgovine,01.1.1,Federacija Bosne i Hercegovine
a8f0cc093d8d4bc18e0a38bd81d8ff46,2048687,Fed. agro-mediteranski zavod Mostar,04.2.1,Federacija Bosne i Hercegovine
c40fad2b43154f5f8726ebe929f85b32,1290809,Fed. zavod za agropedologiju,04.2.1,Federacija Bosne i Hercegovine
979a89b10d82412691d66205fa1ab6c9,1236188,Fed. zavod za geologiju,04.9.0,Federacija Bosne i Hercegovine
390cd3edd18c400f941430526274fa86,720645,Fed. zavod za program. razvoja,04.9.0,Federacija Bosne i Hercegovine
db151256f7cd4c1490c56be0e5e2453e,40869713,Fed. min. zdravstva,07.6.0,Federacija Bosne i Hercegovine
1373c093383f49768603b46253cd6456,367705739,Fed. min. rada i soc. politike,10.9.0,Federacija Bosne i Hercegovine
3be32255962247679a1f27ea80b6d2bc,353704673,Fed. min. za pitanje boraca i inv. odbr. - oslobod. rata,01.1.1,Federacija Bosne i Hercegovine
c92828b817b248378b1891d1a586b0e3,28708735,Fed. min. raseljenih osoba i izbjeglica,01.1.1,Federacija Bosne i Hercegovine
c3fcfd39193f455e8c5359405bfdbbe5,11018239,Fed. min. kulture i sporta,01.1.1,Federacija Bosne i Hercegovine
d2f0deec8aaf4e4eba46b550aacb3c9f,2465972,Fed. novinska agencija,08.3.0,Federacija Bosne i Hercegovine
a4513af0ce214f97aea6ff18b74febb8,8504825,Fed. min. obrazo. i nauke,09.8.0,Federacija Bosne i Hercegovine
36214b3658f64c43b37dd158730f6318,10163203,Fed. min. okoliša i turizma,01.1.1,Federacija Bosne i Hercegovine
8d98bf9f4f554d1584a170e3662cd2c7,8588970,Fed. min. prostornog uređenja,01.1.1,Federacija Bosne i Hercegovine
fb16500d77704567ba54b0f65ca82544,2259642,Fed. uprava za geo. i imovinsko - pravne poslove,06.1.0,Federacija Bosne i Hercegovine
9947697d06c245ea884e49559a15c199,24436000,Poreska uprava RS-a,01.1.2,Republika Srpska
b888a88219bc423e96e12b07aeaa0ee5,10919000,Predsjednik RS-a,01.1.1,Republika Srpska
30594405589044d098b5d0187561c198,10489000,Narodna skupština RS-a,01.1.1,Republika Srpska
c5995c3dc96147a198997c66fb22b960,10403000,Repub. uprava za inspekc. poslove,01.1.3,Republika Srpska
e7fbe464748f44c8854d22d990396bf8,10193000,Vlada RS-a,01.1.1,Republika Srpska
7598170e980f4c93bef3843d9df89df8,9369000,Min. uprave i lok. samouprave,01.1.1,Republika Srpska
fcebe6ae077640a89a40c87da336ea2d,7927000,Min. finansija,01.1.1,Republika Srpska
7c73cf33187d48c1b14b98c3e9182ce2,7415000,"Min. porodice, omladine i sporta",01.1.1,Republika Srpska
9504ed93f27d44e6a016ad309b765929,5268000,Služba za zajednič. poslove Vlade RS-a,01.3.3,Republika Srpska
ac23c8620ba9430da379cfd2df1ca4ee,4043000,Repub. zavod za statistiku,01.3.2,Republika Srpska
8726259208674ae584e5c51158a8ee56,3500000,Glavna služba za reviziju jav. sektora RS-a,01.1.2,Republika Srpska
7b993838befe44c38b9022fcfc781416,3340000,Vijeće naroda RS-a,01.1.1,Republika Srpska
3663fbef85884d41955a35081a71fab7,1298000,Repub. hidromet. zavod,04.9.0,Republika Srpska
0693d9655b45490c860e2d28019faa1a,1048000,Repub. uprava za igre na sreću,01.6.0,Republika Srpska
8af79d3f997549a083690ba53223348c,997000,Repub. centar za istraž. rat. zločina,01.4.0,Republika Srpska
856416cef80e4fa7a553dbbd00e82e18,898000,Arhiv RS-a,01.3.3,Republika Srpska
2ab07055fa984c3dac0813b6be8a19b2,648000,Repub. sekretar. za zakonodav.,01.1.1,Republika Srpska
5b0a5b8b807e4befa3c2a0c5ecabf3ec,623000,Agencija za državnu upravu,01.1.1,Republika Srpska
25f7f63c293348de9db00c82106fe0ab,578000,Agencija za upravljanje oduz. imov.,04.9.0,Republika Srpska
95be9ae6b9f8483eab53739f9a538a55,461000,Repub. devizni inspektorat,01.1.1,Republika Srpska
5580c2cf136243f7a29a86bc3e270e95,426000,Gender centar,03.6.0,Republika Srpska
4ff9191f120343178a752d5d64c0e1df,379000,Repub. zavod za standard. i metrolo.,04.1.1,Republika Srpska
065e85230c914907a88bba1bd16c366f,268000,Odbor državne uprave za žalbe,01.3.1,Republika Srpska
202f46ee6b7c447ab5c43a9aa6d85725,265000,Repub. komis. za utvrđ. interesa u organ. vlasti RS-a,01.4.0,Republika Srpska
309a70c661ec4b0d922f8d29520db536,179000,Komisija za žalbe,01.3.1,Republika Srpska
d678313732fa4a1e84377f9cd4fc6715,131000,Repub. izborna komisija,01.6.0,Republika Srpska
aff6674cf38f4b3990cfa82f207b6dac,163313000,MUP RS-a,03.1.0,Republika Srpska
652f9a0dd1a44d03b3070e56598d3979,29842000,Osnovni sudovi RS-a,03.3.0,Republika Srpska
47dede6bb95140a68e659d75ef1a1ba2,24780000,Kazneno popravni zavodi RS-a,03.4.0,Republika Srpska
0bad6bbaee16455d8cbc40aec46cdf02,9457000,Okružni sudovi RS-a,03.3.0,Republika Srpska
6ef313a4260047499cf8d9277c6ad532,8366000,Okružno tužilaštvo RS-a,03.3.0,Republika Srpska
45faea077c264723806ce9cc3b41167a,5300000,Sudska policija RS-a,03.1.0,Republika Srpska
0e9ea8c8bcb145d8b5334ed80c638461,4810000,Repub. uprava CZ,03.1.0,Republika Srpska
5c401b5d5abe4294ad783dfe690d5f82,4377000,Okružni privredni sudovi RS-a,03.3.0,Republika Srpska
d8a121bb91424ac3a8783e18f6938270,3488000,Pravobranilaštvo RS-a,03.3.0,Republika Srpska
ada6def81f2b45d6a926df76c398055d,3023000,Min. pravde,01.1.1,Republika Srpska
fc499a0fde104cd0935e909706df1b0d,2660000,Vrhovni sud RS-a,03.3.0,Republika Srpska
94da9f1cb21c45beb140dc1d82ef3848,2066000,Specijalno tužilaštvo,03.3.0,Republika Srpska
189b20776f584c61ab3d9cb9c5ef2d72,1790000,Ustavni sud RS-a,03.3.0,Republika Srpska
88600f0d42f449fca3b86952ec249cbb,1268000,Centar za pruž. besp. prav. pomoći,03.3.0,Republika Srpska
e53787343754443d9e94b281b047171e,916000,Viši privredni sud,03.3.0,Republika Srpska
3ad721680aba459081a7b97d8f270f4a,777000,Ombdusmen za djecu RS-a,03.3.0,Republika Srpska
b2c106f51e4e48bca3d2b4ecde24ccbe,723000,Repub. tužilaštvo RS-a,03.3.0,Republika Srpska
b4447187b7ae45b1ae747d2c32c5b46c,436000,Centar za edu.  sudija i javnih tužilaca u RS-u,03.3.0,Republika Srpska
56e962258acc451aa1d2d248fe6c82a0,234000,Kanc. pravnog predstavnika,03.3.0,Republika Srpska
da046d1f86954f50a8e9557b719f4474,60741000,Agencija za agrarna plačanja,04.2.1,Republika Srpska
a70893dfbad84d70adaaaceab0c44b38,29079000,Min. saobračaja i veza,01.1.1,Republika Srpska
420a807a27764cadb2a09edd2154d0df,23228000,"Min. energije, rudarstva i indust.",01.1.1,Republika Srpska
4b22d44d2ba24283aabaf724cb2d6c9f,10775000,Min. trgo. i turizma,01.1.1,Republika Srpska
8900dcb4478f451ba81595499ebd900d,9941000,Min. za ekon. odnose i region. saradnju,01.1.1,Republika Srpska
bb52faf8328e4016aff996520cd39a11,9051000,"Min. poljoprivr., vodoprivr. I šumarstva",01.1.1,Republika Srpska
